series_id,year,month,value
1,1990,1,2267.5
1,1990,2,2276.9
1,1990,3,2279.9
1,1990,4,2287.9
1,1990,5,2290.3
1,1990,6,2296.8
1,1990,7,2298.2
1,1990,8,2298.2
1,1990,9,2302.7
1,1990,10,2301.5
1,1990,11,2302
1,1990,12,2299.2
1,1991,1,2294.3
1,1991,2,2294.3
1,1991,3,2294.9
1,1991,4,2294.6
1,1991,5,2292.5
1,1991,6,2300.6
1,1991,7,2302.3
1,1991,8,2306
1,1991,9,2304
1,1991,10,2313.8
1,1991,11,2313.3
1,1991,12,2315.8
1,1992,1,2331.6
1,1992,2,2330.2
1,1992,3,2330.6
1,1992,4,2349.3
1,1992,5,2356.8
1,1992,6,2357
1,1992,7,2360.4
1,1992,8,2365.4
1,1992,9,2369.2
1,1992,10,2373.4
1,1992,11,2378.5
1,1992,12,2381.5
1,1993,1,2388
1,1993,2,2395.6
1,1993,3,2397.7
1,1993,4,2391.9
1,1993,5,2406.8
1,1993,6,2406.5
1,1993,7,2409.8
1,1993,8,2416.9
1,1993,9,2420.1
1,1993,10,2433.5
1,1993,11,2433.6
1,1993,12,2441.8
1,1994,1,2446.8
1,1994,2,2452.8
1,1994,3,2464
1,1994,4,2471
1,1994,5,2477.5
1,1994,6,2483
1,1994,7,2499.8
1,1994,8,2496.8
1,1994,9,2513.6
1,1994,10,2513.3
1,1994,11,2527.3
1,1994,12,2530.3
1,1995,1,2540.2
1,1995,2,2547.9
1,1995,3,2555.1
1,1995,4,2554.2
1,1995,5,2550.1
1,1995,6,2559.3
1,1995,7,2559
1,1995,8,2565.1
1,1995,9,2567.4
1,1995,10,2566.9
1,1995,11,2564.6
1,1995,12,2570.5
1,1996,1,2587.3
1,1996,2,2580.3
1,1996,3,2588.3
1,1996,4,2584.4
1,1996,5,2591.7
1,1996,6,2597.4
1,1996,7,2598
1,1996,8,2610.9
1,1996,9,2609.3
1,1996,10,2614.5
1,1996,11,2618.7
1,1996,12,2620.4
1,1997,1,2623.6
1,1997,2,2626.4
1,1997,3,2628
1,1997,4,2637.4
1,1997,5,2646
1,1997,6,2653.2
1,1997,7,2656.6
1,1997,8,2661.7
1,1997,9,2670.4
1,1997,10,2676.3
1,1997,11,2683.4
1,1997,12,2691.2
1,1998,1,2688.5
1,1998,2,2696.8
1,1998,3,2695.7
1,1998,4,2705.1
1,1998,5,2715.3
1,1998,6,2716.7
1,1998,7,2713
1,1998,8,2721.5
1,1998,9,2722.6
1,1998,10,2728.9
1,1998,11,2740.2
1,1998,12,2751
1,1999,1,2749.7
1,1999,2,2758.8
1,1999,3,2762.8
1,1999,4,2773.5
1,1999,5,2775.7
1,1999,6,2783.4
1,1999,7,2788.8
1,1999,8,2793.1
1,1999,9,2790.8
1,1999,10,2798.8
1,1999,11,2801.5
1,1999,12,2810.8
1,2000,1,2812.2
1,2000,2,2820
1,2000,3,2830.7
1,2000,4,2836.8
1,2000,5,2833.1
1,2000,6,2839.3
1,2000,7,2834.8
1,2000,8,2839.5
1,2000,9,2834.5
1,2000,10,2835.8
1,2000,11,2842.2
1,2000,12,2831.3
1,2001,1,2834.2
1,2001,2,2841.2
1,2001,3,2834.1
1,2001,4,2828.9
1,2001,5,2824.2
1,2001,6,2815.2
1,2001,7,2811.5
1,2001,8,2808.6
1,2001,9,2801.5
1,2001,10,2792.7
1,2001,11,2785.4
1,2001,12,2776.8
1,2002,1,2782.9
1,2002,2,2782
1,2002,3,2781
1,2002,4,2779.9
1,2002,5,2779.2
1,2002,6,2778.3
1,2002,7,2776.1
1,2002,8,2778.5
1,2002,9,2773.8
1,2002,10,2785.4
1,2002,11,2788.6
1,2002,12,2780.4
1,2003,1,2774.1
1,2003,2,2777.2
1,2003,3,2771.2
1,2003,4,2773.9
1,2003,5,2773.4
1,2003,6,2772.1
1,2003,7,2760.5
1,2003,8,2760.3
1,2003,9,2766.2
1,2003,10,2777.1
1,2003,11,2775.6
1,2003,12,2777.7
1,2004,1,2780.8
1,2004,2,2785.1
1,2004,3,2788.5
1,2004,4,2790
1,2004,5,2796
1,2004,6,2799.6
1,2004,7,2808.7
1,2004,8,2815.9
1,2004,9,2807
1,2004,10,2817.2
1,2004,11,2818.2
1,2004,12,2816.9
1,2005,1,2818.2
1,2005,2,2824.9
1,2005,3,2827.2
1,2005,4,2836.2
1,2005,5,2831.7
1,2005,6,2828.1
1,2005,7,2837.2
1,2005,8,2839.9
1,2005,9,2846
1,2005,10,2842.9
1,2005,11,2845.4
1,2005,12,2849.7
1,2006,1,2849.3
1,2006,2,2853
1,2006,3,2855.2
1,2006,4,2862.3
1,2006,5,2855.3
1,2006,6,2862.8
1,2006,7,2861
1,2006,8,2861.2
1,2006,9,2864.2
1,2006,10,2862.4
1,2006,11,2862.9
1,2006,12,2865.4
1,2007,1,2870.5
1,2007,2,2868.9
1,2007,3,2873.4
1,2007,4,2873.1
1,2007,5,2878.7
1,2007,6,2887.5
1,2007,7,2881.2
1,2007,8,2880.2
1,2007,9,2879
1,2007,10,2873.2
1,2007,11,2872.6
1,2007,12,2877.6
1,2008,1,2882.8
1,2008,2,2881.8
1,2008,3,2878.6
1,2008,4,2874.1
1,2008,5,2876.9
1,2008,6,2874.5
1,2008,7,2872.3
1,2008,8,2867.7
1,2008,9,2869.8
1,2008,10,2858
1,2008,11,2849.2
1,2008,12,2834.7
1,2009,1,2808.9
1,2009,2,2792.2
1,2009,3,2770.8
1,2009,4,2748
1,2009,5,2748
1,2009,6,2735.2
1,2009,7,2723.6
1,2009,8,2716.4
1,2009,9,2714.5
1,2009,10,2714.7
1,2009,11,2711.7
1,2009,12,2710.4
1,2010,1,2710.2
1,2010,2,2710
1,2010,3,2712
1,2010,4,2722.5
1,2010,5,2725.2
1,2010,6,2723.5
1,2010,7,2727
1,2010,8,2729.8
1,2010,9,2728
1,2010,10,2737.6
1,2010,11,2738.9
1,2010,12,2736.4
1,2011,1,2740.7
1,2011,2,2742.6
1,2011,3,2745.1
1,2011,4,2748.9
1,2011,5,2749.3
1,2011,6,2746.5
1,2011,7,2760.2
1,2011,8,2756.6
1,2011,9,2759.3
1,2011,10,2755.1
1,2011,11,2755.5
1,2011,12,2761.5
1,2012,1,2757.2
1,2012,2,2763.3
1,2012,3,2778.1
1,2012,4,2786.3
1,2012,5,2783.9
1,2012,6,2783.7
1,2012,7,2774.3
1,2012,8,2779
1,2012,9,2784.2
1,2012,10,2788.8
1,2012,11,2796.5
1,2012,12,2793.5
1,2013,1,2784.7
1,2013,2,2803.8
1,2013,3,2804.6
1,2013,4,2795.6
1,2013,5,2804.4
1,2013,6,2807.9
1,2013,7,2807.1
1,2013,8,2814.5
1,2013,9,2820.3
1,2013,10,2820.6
1,2013,11,2823.4
1,2013,12,2826.3
1,2014,1,2831.4
1,2014,2,2832.7
1,2014,3,2836.2
1,2014,4,2843.1
1,2014,5,2845.7
1,2014,6,2852.2
1,2014,7,2852.1
1,2014,8,2864.4
1,2014,9,2862.2
1,2014,10,2863.6
1,2014,11,2875.8
1,2014,12,2870
1,2015,1,2874.9
1,2015,2,2877.8
1,2015,3,2882.1
1,2015,4,2882.9
1,2015,5,2888.1
1,2015,6,2890.8
1,2015,7,2893.7
1,2015,8,2896.6
1,2015,9,2896.6
1,2015,10,2901.3
1,2015,11,2901.6
1,2015,12,2907.9
1,2016,1,2918.4
1,2016,2,2922.6
1,2016,3,2923
1,2016,4,2924.3
1,2016,5,2916.7
1,2016,6,2916.8
1,2016,7,2928.2
1,2016,8,2929.1
1,2016,9,2923.8
1,2016,10,2930.1
1,2016,11,2933.8
1,2016,12,2934.3
1,2017,1,2939.7
1,2017,2,2950.8
1,2017,3,2947.1
1,2017,4,2960.2
1,2017,5,2956.5
1,2017,6,2951.1
1,2017,7,2956.9
1,2017,8,2949.8
1,2017,9,2962
1,2017,10,2971.9
1,2017,11,2976.2
1,2017,12,2974.5
2,1990,4,6.8
2,1990,5,4.5
2,1990,6,5.6
2,1990,7,3.4
2,1990,8,2.6
2,1990,9,2
2,1990,10,1.1
2,1990,11,1.3
2,1990,12,-1.2
2,1991,1,-2.4
2,1991,2,-2.6
2,1991,3,-1.4
2,1991,4,0.1
2,1991,5,-0.6
2,1991,6,1.9
2,1991,7,2.6
2,1991,8,4.5
2,1991,9,1.1
2,1991,10,3.8
2,1991,11,2.4
2,1991,12,3.9
2,1992,1,5.9
2,1992,2,5.6
2,1992,3,4.9
2,1992,4,5.9
2,1992,5,8.9
2,1992,6,8.8
2,1992,7,3.7
2,1992,8,2.9
2,1992,9,4.1
2,1992,10,4.3
2,1992,11,4.4
2,1992,12,4.1
2,1993,1,4.9
2,1993,2,5.7
2,1993,3,5.4
2,1993,4,1.3
2,1993,5,3.7
2,1993,6,2.9
2,1993,7,6
2,1993,8,3.4
2,1993,9,4.5
2,1993,10,7.9
2,1993,11,5.6
2,1993,12,7.2
2,1994,1,4.4
2,1994,2,6.4
2,1994,3,7.4
2,1994,4,8.1
2,1994,5,8.2
2,1994,6,6.3
2,1994,7,9.6
2,1994,8,6.4
2,1994,9,10.2
2,1994,10,4.5
2,1994,11,10.2
2,1994,12,5.6
2,1995,1,9
2,1995,2,6.9
2,1995,3,8.3
2,1995,4,4.7
2,1995,5,0.7
2,1995,6,1.4
2,1995,7,1.6
2,1995,8,5
2,1995,9,2.7
2,1995,10,2.6
2,1995,11,-0.2
2,1995,12,1
2,1996,1,6.8
2,1996,2,5.2
2,1996,3,5.9
2,1996,4,-1
2,1996,5,3.8
2,1996,6,3
2,1996,7,4.5
2,1996,8,6.4
2,1996,9,4
2,1996,10,5.5
2,1996,11,2.6
2,1996,12,3.7
2,1997,1,3
2,1997,2,2.6
2,1997,3,2.5
2,1997,4,4.6
2,1997,5,6.5
2,1997,6,8.4
2,1997,7,6.4
2,1997,8,5.2
2,1997,9,5.7
2,1997,10,6.6
2,1997,11,7.2
2,1997,12,6.9
2,1998,1,4.1
2,1998,2,4.5
2,1998,3,1.5
2,1998,4,5.5
2,1998,5,6.2
2,1998,6,7
2,1998,7,2.6
2,1998,8,2.1
2,1998,9,2
2,1998,10,5.3
2,1998,11,6.2
2,1998,12,9.5
2,1999,1,6.9
2,1999,2,6.2
2,1999,3,3.9
2,1999,4,7.9
2,1999,5,5.6
2,1999,6,6.9
2,1999,7,5.1
2,1999,8,5.8
2,1999,9,2.5
2,1999,10,3.3
2,1999,11,2.8
2,1999,12,6.7
2,2000,1,4.5
2,2000,2,6.2
2,2000,3,6.6
2,2000,4,8.2
2,2000,5,4.4
2,2000,6,2.9
2,2000,7,-0.7
2,2000,8,2.1
2,2000,9,-1.6
2,2000,10,0.3
2,2000,11,0.9
2,2000,12,-1.1
2,2001,1,-0.5
2,2001,2,-0.3
2,2001,3,0.9
2,2001,4,-1.8
2,2001,5,-5.7
2,2001,6,-6.3
2,2001,7,-5.8
2,2001,8,-5.2
2,2001,9,-4.6
2,2001,10,-6.3
2,2001,11,-7.7
2,2001,12,-8.2
2,2002,1,-3.3
2,2002,2,-1.1
2,2002,3,1.4
2,2002,4,-1
2,2002,5,-0.9
2,2002,6,-0.9
2,2002,7,-1.3
2,2002,8,-0.2
2,2002,9,-1.5
2,2002,10,3.1
2,2002,11,3.4
2,2002,12,2.2
2,2003,1,-3.8
2,2003,2,-3.8
2,2003,3,-3.1
2,2003,4,-0.1
2,2003,5,-1.3
2,2003,6,0.3
2,2003,7,-4.5
2,2003,8,-4.4
2,2003,9,-2
2,2003,10,5.5
2,2003,11,5.1
2,2003,12,3.8
2,2004,1,1.2
2,2004,2,3.2
2,2004,3,3.6
2,2004,4,3.1
2,2004,5,3.6
2,2004,6,3.7
2,2004,7,6.2
2,2004,8,6.6
2,2004,9,2.5
2,2004,10,2.8
2,2004,11,0.8
2,2004,12,3.3
2,2005,1,0.3
2,2005,2,2.2
2,2005,3,3.4
2,2005,4,6
2,2005,5,2.3
2,2005,6,0.3
2,2005,7,0.3
2,2005,8,2.7
2,2005,9,6
2,2005,10,1.9
2,2005,11,1.8
2,2005,12,1.2
2,2006,1,2.1
2,2006,2,2.5
2,2006,3,1.8
2,2006,4,4.3
2,2006,5,0.8
2,2006,6,2.5
2,2006,7,-0.4
2,2006,8,2
2,2006,9,0.5
2,2006,10,0.5
2,2006,11,0.6
2,2006,12,0.4
2,2007,1,2.7
2,2007,2,2
2,2007,3,2.7
2,2007,4,0.9
2,2007,5,3.3
2,2007,6,4.7
2,2007,7,2.7
2,2007,8,0.5
2,2007,9,-2.8
2,2007,10,-2.7
2,2007,11,-2.5
2,2007,12,-0.5
2,2008,1,3.2
2,2008,2,3.1
2,2008,3,0.3
2,2008,4,-2.9
2,2008,5,-1.6
2,2008,6,-1.4
2,2008,7,-0.6
2,2008,8,-3.1
2,2008,9,-1.6
2,2008,10,-4.8
2,2008,11,-6.2
2,2008,12,-11.7
2,2009,1,-16.4
2,2009,2,-19
2,2009,3,-21.3
2,2009,4,-20.3
2,2009,5,-14.7
2,2009,6,-11.9
2,2009,7,-8.1
2,2009,8,-10.5
2,2009,9,-6.9
2,2009,10,-3
2,2009,11,-1.6
2,2009,12,-1.4
2,2010,1,-1.5
2,2010,2,-0.6
2,2010,3,0.5
2,2010,4,4.1
2,2010,5,5.1
2,2010,6,3.8
2,2010,7,1.5
2,2010,8,1.5
2,2010,9,1.5
2,2010,10,3.5
2,2010,11,3
2,2010,12,2.8
2,2011,1,1
2,2011,2,1.2
2,2011,3,2.9
2,2011,4,2.7
2,2011,5,2.2
2,2011,6,0.5
2,2011,7,3.8
2,2011,8,2.4
2,2011,9,4.3
2,2011,10,-1.7
2,2011,11,-0.4
2,2011,12,0.7
2,2012,1,0.7
2,2012,2,2.6
2,2012,3,5.5
2,2012,4,9.7
2,2012,5,6.9
2,2012,6,1.9
2,2012,7,-4
2,2012,8,-1.6
